Subject,StartDate,Drug,IV.Sex,DV.Activity,IV.DOSE,DV.Response
8646,12/20/2011,Bup,M,265,10,0.0625
8647,12/20/2011,Bup,M,88,10,0.3875
8648,1/4/2012,Bup,M,90,10,0.2375
8649,1/4/2012,Bup,M,110,10,0.079166667
8650,12/30/2011,Bup,M,217,10,0.175
8651,12/30/2011,Bup,M,189,10,0.0875
8640,1/9/2012,Bup,M,137,20,0.308333333
8641,12/30/2011,Bup,M,178,20,0.016666667
8642,1/4/2012,Bup,M,149,20,0.3625
8643,1/4/2012,Bup,M,207,20,0.254166667
8644,12/30/2011,Bup,M,121,20,0.129166667
8645,1/4/2012,Bup,M,99,20,0.208333333
8646,1/4/2012,Bup,M,177,20,0.241666667
8647,1/4/2012,Bup,M,137,20,0.2
8648,12/20/2011,Bup,M,72,20,0.175
8649,12/20/2011,Bup,M,131,20,0.0375
8650,1/9/2012,Bup,M,122,20,0
8651,1/4/2012,Bup,M,96,20,0.104166667
8640,12/20/2011,Bup,M,132,30,0.2375
8641,1/9/2012,Bup,M,199,30,0.004166667
8642,12/30/2011,Bup,M,87,30,0.104166667
8643,12/20/2011,Bup,M,244,30,0.195833333
8644,1/9/2012,Bup,M,99,30,0.5875
8645,12/30/2011,Bup,M,86,30,0.083333333
8646,12/30/2011,Bup,M,147,30,0.0125
8647,1/9/2012,Bup,M,34,30,0.2
8648,12/30/2011,Bup,M,181,30,0.041666667
8649,12/30/2011,Bup,M,84,30,0.025
8650,1/4/2012,Bup,M,111,30,0.025
8651,1/9/2012,Bup,M,120,30,0.004166667
8640,1/24/2012,Bup,M,135,60,0.304166667
8641,1/24/2012,Bup,M,87,60,0.0625
8642,1/29/2012,Bup,M,0,60,0.258333333
8643,1/29/2012,Bup,M,56,60,0.091666667
8644,1/29/2012,Bup,M,114,60,0.033333333
8645,1/24/2012,Bup,M,119,60,0.1875
8646,1/24/2012,Bup,M,194,60,0.033333333
8647,1/29/2012,Bup,M,34,60,0.045833333
8648,1/24/2012,Bup,M,113,60,0.179166667
8649,1/24/2012,Bup,M,26,60,0.0375
8650,1/29/2012,Bup,M,70,60,0.1
8651,1/29/2012,Bup,M,4,60,0.229166667
